Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1925555;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;2;;;67952;583991.49;1131694.67;2013-12-07T00:00:00
1925563;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;3;;;67952;584017.91;1131661.28;2013-12-07T00:00:00
1925571;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;4;;;67952;584032.53;1131647.37;2013-12-07T00:00:00
1925598;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;6;;;67952;584078.02;1131624.84;2022-11-14T00:00:00
1925601;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;7;;;67952;584085.45;1131560.39;2013-12-07T00:00:00
1925610;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;8;;;67952;584121.13;1131653.05;2022-11-14T00:00:00
1925628;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;9;;;67952;584136.85;1131649.25;2013-12-07T00:00:00
1925636;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;10;;;67952;584197.79;1131648.69;2013-12-07T00:00:00
1925644;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;11;;;67952;584283.76;1131583.39;2013-12-07T00:00:00
1925652;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;12;;;67952;583940.31;1131281.02;2022-11-14T00:00:00
1925679;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;14;;;67952;584169.60;1131608.85;2013-12-07T00:00:00
1925687;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;15;;;67952;584196.20;1131583.55;2013-12-07T00:00:00
1925695;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;16;;;67952;584205.03;1131567.08;2013-12-07T00:00:00
1925709;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;17;;;67952;584238.87;1131587.09;2022-11-14T00:00:00
1925717;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;18;;;67952;584233.79;1131571.46;2022-11-14T00:00:00
1925725;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;19;;;67952;584238.29;1131548.42;2022-11-14T00:00:00
1925733;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;20;;;67952;584227.50;1131540.45;2022-11-14T00:00:00
1925741;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;21;;;67952;584212.90;1131527.76;2022-11-14T00:00:00
1925750;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;22;;;67952;584218.14;1131501.00;2022-11-14T00:00:00
1925768;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;23;;;67952;584254.08;1131517.97;2022-11-14T00:00:00
1925776;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;24;;;67952;584275.09;1131499.98;2022-11-14T00:00:00
1925784;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;25;;;67952;584301.16;1131482.12;2013-12-07T00:00:00
1925792;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;26;;;67952;584314.24;1131505.69;2013-12-07T00:00:00
1925806;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;27;;;67952;584311.81;1131528.08;2022-11-14T00:00:00
1925814;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;28;;;67952;584305.80;1131562.27;2013-12-07T00:00:00
1925822;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;29;;;67952;584311.86;1131577.06;2022-11-14T00:00:00
1925831;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;30;;;67952;584318.43;1131598.11;2013-12-07T00:00:00
1925849;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;31;;;67952;584327.33;1131641.92;2013-12-07T00:00:00
1925857;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;32;;;67952;584325.60;1131560.18;2022-11-14T00:00:00
1925865;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;33;;;67952;584361.04;1131611.01;2022-11-14T00:00:00
1925873;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;34;;;67952;584380.26;1131642.34;2013-12-07T00:00:00
1925881;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;35;;;67952;584383.00;1131670.89;2013-12-07T00:00:00
1925890;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;36;;;67952;584336.33;1131648.10;2019-11-14T00:00:00
1925903;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;37;;;67952;583424.49;1132887.97;2013-12-07T00:00:00
1925911;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;38;;;67952;584221.40;1131674.51;2013-12-07T00:00:00
1925920;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;39;;;67952;584202.33;1131675.37;2013-12-07T00:00:00
1925938;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;40;;;67952;584162.25;1131667.31;2022-11-14T00:00:00
1925946;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;41;;;67952;584137.50;1131689.88;2013-12-07T00:00:00
1925954;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;42;;;67952;584106.03;1131690.79;2013-12-07T00:00:00
1925962;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;43;;;67952;584068.31;1131701.59;2013-12-07T00:00:00
1925971;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;44;;;67952;584055.71;1131709.65;2013-12-07T00:00:00
1925989;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;45;;;67952;584033.72;1131723.14;2013-12-07T00:00:00
1925997;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;46;;;67952;583990.16;1131715.68;2022-11-14T00:00:00
1926004;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;47;;;67952;584336.70;1132130.62;2022-11-14T00:00:00
1926012;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;48;;;67952;583413.20;1132903.09;2013-12-07T00:00:00
1926021;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;49;;;67952;584219.85;1131618.10;2022-11-14T00:00:00
1926039;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;50;;;67952;584223.70;1131639.92;2022-12-14T00:00:00
1926055;582751;Ћпбrnб;;;;;195537;Ћпбrnб;;;и.p.;52;;;67952;584034.14;1131707.42;2013-12-07T00:00:00
