KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
15913741;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;1;;;57001;616649.67;1081266.86;2013-12-05T00:00:00
15913759;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;2;;;57001;616395.62;1081366.76;2013-12-05T00:00:00
15913767;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;3;;;57001;616387.03;1081393.96;2013-12-05T00:00:00
15913775;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;4;;;57001;616372.44;1081424.91;2022-10-31T00:00:00
15913783;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;5;;;57001;616370.93;1081448.80;2013-12-05T00:00:00
15913791;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;6;;;57001;616360.66;1081480.77;2013-12-05T00:00:00
15913805;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;7;;;57001;616354.32;1081498.19;2013-12-05T00:00:00
15913813;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;8;;;57001;616347.03;1081525.19;2013-12-05T00:00:00
15913821;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;9;;;57001;616328.95;1081552.91;2013-12-05T00:00:00
15913830;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;10;;;57001;616327.95;1081579.25;2013-12-05T00:00:00
15913848;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;11;;;57001;616308.42;1081616.86;2013-12-05T00:00:00
15913856;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;12;;;57001;616298.76;1081634.12;2013-12-05T00:00:00
15913864;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;13;;;57001;616292.16;1081659.45;2013-12-05T00:00:00
15913872;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;14;;;57001;616277.54;1081673.52;2022-10-31T00:00:00
15913881;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;15;;;57001;616260.44;1081696.14;2022-10-31T00:00:00
15913899;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;17;;;57001;616242.85;1081744.91;2022-10-31T00:00:00
15913902;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;18;;;57001;616236.77;1081771.88;2013-12-05T00:00:00
15913911;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;19;;;57001;616224.91;1081798.27;2013-12-05T00:00:00
15913929;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;20;;;57001;616222.34;1081836.84;2013-12-05T00:00:00
15913937;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;21;;;57001;616336.16;1081889.61;2022-10-31T00:00:00
15913945;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;22;;;57001;616624.48;1081329.75;2013-12-05T00:00:00
15913953;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;23;;;57001;616620.00;1081349.69;2013-12-05T00:00:00
15913961;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;24;;;57001;616593.36;1081385.89;2013-12-05T00:00:00
15913970;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;25;;;57001;616581.15;1081417.17;2013-12-05T00:00:00
15913988;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;26;;;57001;616564.18;1081438.54;2013-12-05T00:00:00
15913996;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;27;;;57001;616551.05;1081451.17;2013-12-05T00:00:00
15914003;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;28;;;57001;616727.80;1081224.91;2013-12-05T00:00:00
15914011;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;29;;;57001;616542.68;1081463.94;2013-12-05T00:00:00
15914020;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;30;;;57001;616533.81;1081480.45;2013-12-05T00:00:00
15914038;572608;Nov· SÌdla;;;;;98418;Nov· SÌdla;;;Ë.p.;31;;;57001;616518.30;1081506.16;2024-03-19T00:00:00
