KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
207560;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;1;;;40502;744618.45;957019.99;2022-10-21T00:00:00
207578;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;3;;;40502;744475.00;957024.00;2013-12-01T00:00:00
207586;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;4;;;40502;744831.00;957421.00;2013-12-01T00:00:00
207594;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;5;;;40502;744431.00;957081.00;2013-12-01T00:00:00
207608;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;8;;;40502;744338.00;957129.00;2013-12-01T00:00:00
207616;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;9;;;40502;744394.00;957152.00;2013-12-01T00:00:00
207624;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;10;;;40502;744495.34;957252.10;2024-08-14T00:00:00
207632;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;13;;;40502;744529.28;957320.05;2016-03-18T00:00:00
207641;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;14;;;40502;744481.00;957354.00;2013-12-01T00:00:00
207659;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;19;;;40502;744430.00;957266.00;2013-12-01T00:00:00
207667;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;24;;;40502;744310.00;957214.00;2013-12-01T00:00:00
207675;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;27;;;40502;744590.13;957576.89;2022-10-21T00:00:00
207683;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;28;;;40502;744198.00;957214.00;2013-12-01T00:00:00
207691;544701;Labsk· Str·Ú;;;;;451;Labsk· Str·Ú;;;Ë.p.;30;;;40502;744303.00;957291.00;2013-12-01T00:00:00
