Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7817797;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;1;;;67976;599442.86;1129857.41;2013-12-01T00:00:00
7817801;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;2;;;67976;599454.66;1129869.30;2014-08-20T00:00:00
7817827;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;4;;;67976;599497.32;1129893.77;2013-12-01T00:00:00
7817835;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;5;;;67976;599567.11;1129844.91;2013-12-01T00:00:00
7817843;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;6;;;67976;599592.65;1129814.57;2013-12-01T00:00:00
7817851;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;7;;;67976;599625.65;1129770.47;2025-02-25T00:00:00
7817860;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;8;;;67976;599632.42;1129789.45;2013-12-01T00:00:00
7817878;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;9;;;67976;599608.71;1129799.05;2013-12-01T00:00:00
7817886;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;10;;;67976;599678.20;1129734.31;2013-12-01T00:00:00
7817894;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;11;;;67976;599692.39;1129713.15;2022-11-14T00:00:00
7817908;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;12;;;67976;599684.09;1129697.88;2013-12-01T00:00:00
7817916;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;13;;;67976;599774.69;1129569.78;2025-10-21T00:00:00
7817924;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;14;;;67976;599731.30;1129718.27;2013-12-01T00:00:00
7817932;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;15;;;67976;599705.83;1129726.06;2013-12-01T00:00:00
7817941;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;16;;;67976;599221.58;1130056.79;2025-05-15T00:00:00
7817959;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;17;;;67976;599558.65;1129919.63;2025-06-26T00:00:00
7817967;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;18;;;67976;599578.13;1129922.20;2019-02-18T00:00:00
7817975;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;19;;;67976;599595.94;1129924.75;2025-10-30T00:00:00
7817983;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;20;;;67976;599621.99;1129924.33;2013-12-01T00:00:00
7817991;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;21;;;67976;599639.08;1129926.01;2013-12-01T00:00:00
7818009;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;22;;;67976;599658.83;1129927.31;2013-12-01T00:00:00
7818017;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;23;;;67976;599676.79;1129929.34;2025-07-04T00:00:00
7818025;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;24;;;67976;599680.81;1129928.44;2025-07-10T00:00:00
7818033;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;25;;;67976;599708.62;1129905.50;2013-12-01T00:00:00
7818041;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;26;;;67976;599721.71;1129864.28;2022-11-14T00:00:00
7818050;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;27;;;67976;599746.65;1129855.96;2013-12-01T00:00:00
7818068;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;28;;;67976;599897.08;1129796.98;2021-06-14T00:00:00
7818076;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;29;;;67976;599741.66;1129872.98;2022-11-14T00:00:00
7818084;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;30;;;67976;599737.64;1129907.58;2013-12-01T00:00:00
7818092;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;31;;;67976;599742.14;1129924.13;2013-12-01T00:00:00
7818106;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;32;;;67976;599732.59;1129946.16;2013-12-01T00:00:00
7818114;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;33;;;67976;599816.46;1129974.91;2025-09-22T00:00:00
7818122;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;34;;;67976;599417.81;1129875.00;2021-04-30T00:00:00
7818131;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;35;;;67976;599736.39;1129988.37;2013-12-01T00:00:00
7818149;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;36;;;67976;599757.11;1130019.47;2013-12-01T00:00:00
7818157;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;37;;;67976;599828.14;1130068.54;2013-12-01T00:00:00
7818165;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;38;;;67976;599858.44;1130029.51;2013-12-01T00:00:00
7818173;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;39;;;67976;600388.66;1130048.86;2013-12-01T00:00:00
7818181;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;40;;;67976;599993.55;1130022.86;2022-01-06T00:00:00
7818190;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;41;;;67976;600126.13;1130058.80;2025-06-04T00:00:00
7818203;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;42;;;67976;599806.97;1130181.90;2013-12-01T00:00:00
7818211;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;43;;;67976;599690.22;1130004.88;2025-05-20T00:00:00
7818220;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;44;;;67976;599668.48;1130244.65;2023-01-26T00:00:00
7818238;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;45;;;67976;599736.92;1130174.79;2022-11-14T00:00:00
7818246;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;46;;;67976;599717.39;1130158.58;2025-09-02T00:00:00
7818254;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;47;;;67976;600138.27;1130026.00;2013-12-01T00:00:00
7818262;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;48;;;67976;599702.46;1130149.93;2020-07-08T00:00:00
7818271;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;49;;;67976;599706.72;1130129.60;2013-12-01T00:00:00
7818289;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;50;;;67976;599708.40;1130087.23;2022-11-14T00:00:00
7818297;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;51;;;67976;599716.73;1130069.21;2019-03-07T00:00:00
7818301;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;52;;;67976;599709.46;1130037.68;2025-03-24T00:00:00
7818319;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;53;;;67976;599703.03;1130029.42;2013-12-01T00:00:00
7818327;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;54;;;67976;599680.89;1129972.82;2013-12-01T00:00:00
7818335;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;55;;;67976;599658.38;1129952.47;2013-12-01T00:00:00
7818343;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;56;;;67976;599638.09;1129951.50;2013-12-01T00:00:00
7818351;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;57;;;67976;599626.75;1129948.46;2025-10-08T00:00:00
7818360;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;58;;;67976;599604.94;1129944.53;2025-11-26T00:00:00
7818378;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;59;;;67976;600142.38;1130004.27;2013-12-01T00:00:00
7818386;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;60;;;67976;599588.51;1129940.65;2025-02-19T00:00:00
7818394;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;61;;;67976;599571.46;1129937.00;2013-12-01T00:00:00
7818408;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;62;;;67976;599542.06;1129939.71;2013-12-01T00:00:00
7818416;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;63;;;67976;599524.70;1129943.29;2013-12-01T00:00:00
7818424;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;64;;;67976;599507.89;1129955.12;2013-12-01T00:00:00
7818432;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;65;;;67976;599490.86;1129971.29;2013-12-01T00:00:00
7818441;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;66;;;67976;599475.56;1129925.17;2013-12-01T00:00:00
7818459;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;67;;;67976;599472.75;1129905.89;2022-11-14T00:00:00
7818467;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;68;;;67976;599467.22;1129897.91;2025-03-12T00:00:00
7818475;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;69;;;67976;599427.15;1129900.88;2013-12-01T00:00:00
7818483;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;70;;;67976;598673.33;1130343.94;2025-04-16T00:00:00
7818491;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;71;;;67976;597300.32;1130959.16;2013-12-01T00:00:00
7818505;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;72;;;67976;600005.09;1130012.82;2013-12-01T00:00:00
7818513;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;73;;;67976;599672.21;1129711.44;2013-12-01T00:00:00
7818521;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;74;;;67976;600088.47;1130048.05;2013-12-01T00:00:00
7818530;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;75;;;67976;599679.96;1130220.02;2013-12-01T00:00:00
7818548;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;76;;;67976;599658.34;1129712.18;2022-08-18T00:00:00
7818556;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;77;;;67976;600108.70;1130053.55;2013-12-01T00:00:00
7818564;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;78;;;67976;599618.27;1129837.75;2013-12-01T00:00:00
7818572;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;79;;;67976;599636.24;1129777.58;2025-07-28T00:00:00
7818581;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;80;;;67976;600147.04;1130023.20;2025-05-26T00:00:00
7818599;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;81;;;67976;599768.09;1130136.80;2013-12-01T00:00:00
7818602;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;82;;;67976;600157.26;1130031.64;2020-07-08T00:00:00
7818611;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;83;;;67976;599641.40;1129737.95;2025-04-03T00:00:00
7818629;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;84;;;67976;599764.84;1130155.13;2013-12-01T00:00:00
7818637;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;85;;;67976;599780.02;1130127.04;2013-12-01T00:00:00
7818653;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;88;;;67976;600046.92;1130054.52;2013-12-01T00:00:00
7818661;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;89;;;67976;599611.47;1129922.91;2013-12-01T00:00:00
7818670;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;90;;;67976;599713.37;1129712.54;2013-12-01T00:00:00
7818688;581551;Drnovice;;;;;32531;Drnovice;;;и.p.;91;;;67976;599694.51;1129739.58;2022-11-14T00:00:00
