Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
19;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;1;;;40714;742523.00;958920.00;2013-11-29T00:00:00
27;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;2;;;40714;742792.91;958987.52;2013-11-29T00:00:00
35;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;3;;;40714;742764.19;959001.16;2022-10-27T00:00:00
51;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;6;;;40714;741868.21;959237.23;2022-10-27T00:00:00
60;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;7;;;40714;742468.00;958826.00;2013-11-29T00:00:00
78;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;8;;;40714;742420.00;958801.00;2013-11-29T00:00:00
86;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;9;;;40714;742426.00;958842.00;2013-11-29T00:00:00
94;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;10;;;40714;742410.00;958738.00;2013-11-29T00:00:00
116;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;12;;;40714;742392.00;958752.00;2013-11-29T00:00:00
124;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;13;;;40714;742382.00;958818.00;2013-11-29T00:00:00
132;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;14;;;40714;742368.00;958850.00;2013-11-29T00:00:00
141;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;15;;;40714;742334.00;958877.00;2013-11-29T00:00:00
159;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;17;;;40714;742371.00;958912.00;2013-11-29T00:00:00
167;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;19;;;40714;742313.00;958889.00;2013-11-29T00:00:00
175;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;20;;;40714;742313.00;958913.00;2013-11-29T00:00:00
183;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;25;;;40714;742294.00;958989.00;2013-11-29T00:00:00
205;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;28;;;40714;742341.00;958996.00;2013-11-29T00:00:00
213;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;29;;;40714;742369.00;958958.00;2013-11-29T00:00:00
221;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;30;;;40714;742379.90;958976.61;2020-02-28T00:00:00
230;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;31;;;40714;742380.39;958940.52;2022-10-27T00:00:00
248;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;32;;;40714;742427.00;958929.00;2013-11-29T00:00:00
256;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;33;;;40714;742454.00;958960.00;2013-11-29T00:00:00
264;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;34;;;40714;742486.00;958980.00;2013-11-29T00:00:00
281;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;37;;;40714;742480.00;959079.00;2013-11-29T00:00:00
299;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;39;;;40714;742539.19;959135.25;2013-11-29T00:00:00
311;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;41;;;40714;742598.00;959124.00;2013-11-29T00:00:00
329;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;42;;;40714;742595.69;959079.94;2013-11-29T00:00:00
337;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;44;;;40714;742688.00;959139.00;2013-11-29T00:00:00
345;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;45;;;40714;742713.00;959128.00;2013-11-29T00:00:00
353;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;46;;;40714;742678.00;959064.00;2013-11-29T00:00:00
370;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;48;;;40714;742702.00;958988.00;2013-11-29T00:00:00
396;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;50;;;40714;742660.00;958938.00;2013-11-29T00:00:00
400;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;51;;;40714;742608.00;958954.00;2013-11-29T00:00:00
418;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;56;;;40714;742450.00;959001.00;2013-11-29T00:00:00
426;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;57;;;40714;742516.00;959001.00;2013-11-29T00:00:00
434;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;58;;;40714;742502.00;959075.00;2013-11-29T00:00:00
442;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;60;;;40714;742511.00;958782.00;2013-11-29T00:00:00
451;562343;Arnoltice;;;;;434;Arnoltice;;;и.p.;61;;;40714;742538.00;958988.00;2013-11-29T00:00:00
