Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
12645575;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;1;;;25168;735254.06;1063925.78;2013-12-05T00:00:00
12645583;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;2;;;25168;735338.58;1063788.24;2013-12-05T00:00:00
12645591;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;3;;;25168;735328.86;1063807.84;2025-11-03T00:00:00
12645605;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;4;;;25168;735348.52;1063821.92;2026-01-15T00:00:00
12645613;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;5;;;25168;735354.14;1063850.88;2013-12-05T00:00:00
12645621;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;6;;;25168;735314.96;1063848.68;2013-12-05T00:00:00
12645630;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;7;;;25168;735347.28;1063875.20;2013-12-05T00:00:00
12645648;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;8;;;25168;735355.19;1063908.50;2013-12-05T00:00:00
12645656;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;9;;;25168;735353.63;1063954.89;2022-10-18T00:00:00
12645664;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;10;;;25168;735676.27;1064039.91;2013-12-05T00:00:00
12645672;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;11;;;25168;735380.77;1064012.12;2013-12-05T00:00:00
12645699;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;13;;;25168;735581.61;1064063.97;2013-12-05T00:00:00
12645711;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;15;;;25168;735629.60;1064061.59;2013-12-05T00:00:00
12645729;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;16;;;25168;735823.39;1064144.06;2013-12-05T00:00:00
12645737;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;17;;;25168;735858.20;1064097.27;2013-12-05T00:00:00
12645745;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;18;;;25168;735159.85;1063554.79;2013-12-05T00:00:00
12645753;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;19;;;25168;735326.72;1063826.56;2013-12-05T00:00:00
12645761;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;20;;;25168;736033.35;1064205.17;2013-12-05T00:00:00
12645770;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;21;;;25168;735865.10;1064305.84;2025-10-22T00:00:00
12645788;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;22;;;25168;735898.94;1064204.42;2026-01-23T00:00:00
12645800;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;24;;;25168;735919.99;1064212.60;2022-10-18T00:00:00
12645818;538370;Kostelec u Kшнћkщ;;;;;70301;Kostelec u Kшнћkщ;;;и.p.;25;;;25168;735299.53;1063896.76;2013-12-05T00:00:00
