KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
2545136;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;1;;;29479;722733.41;1021156.40;2013-12-01T00:00:00
2545144;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;2;;;29479;722867.28;1021138.48;2022-10-16T00:00:00
2545152;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;3;;;29479;722926.63;1021176.25;2013-12-01T00:00:00
2545161;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;4;;;29479;722920.94;1021212.56;2013-12-01T00:00:00
2545179;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;5;;;29479;722909.93;1021239.46;2014-02-15T00:00:00
2545187;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;6;;;29479;722909.00;1021263.75;2013-12-01T00:00:00
2545195;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;7;;;29479;722872.38;1021295.63;2013-12-01T00:00:00
2545209;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;8;;;29479;722809.77;1021326.13;2022-10-16T00:00:00
2545217;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;9;;;29479;722789.33;1021321.37;2022-10-16T00:00:00
2545225;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;10;;;29479;722807.16;1021254.24;2013-12-01T00:00:00
2545233;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;11;;;29479;722792.00;1021241.00;2013-12-01T00:00:00
2545241;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;12;;;29479;722770.44;1021251.13;2013-12-01T00:00:00
2545250;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;13;;;29479;722733.38;1021226.63;2013-12-01T00:00:00
2545268;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;14;;;29479;722721.03;1021195.49;2022-10-16T00:00:00
2545276;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;15;;;29479;722796.19;1021207.50;2013-12-01T00:00:00
2545284;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;16;;;29479;722807.66;1021189.12;2022-10-16T00:00:00
2545292;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;17;;;29479;722816.38;1021309.69;2013-12-01T00:00:00
2545306;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;18;;;29479;722900.49;1021161.23;2013-12-01T00:00:00
2545314;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;19;;;29479;722839.00;1021275.13;2013-12-01T00:00:00
2545322;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;20;;;29479;722776.44;1021203.31;2013-12-01T00:00:00
2545331;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;21;;;29479;722939.56;1021183.56;2013-12-01T00:00:00
2545349;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;22;;;29479;722797.13;1021359.56;2013-12-01T00:00:00
2545357;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;23;;;29479;722763.13;1021421.31;2013-12-01T00:00:00
2545365;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;24;;;29479;722385.75;1020866.81;2013-12-01T00:00:00
2545373;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;25;;;29479;723551.23;1021379.32;2013-12-01T00:00:00
2545381;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;26;;;29479;722353.25;1020709.25;2013-12-01T00:00:00
2545390;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;27;;;29479;722770.52;1021172.50;2013-12-01T00:00:00
2545403;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;28;;;29479;722432.69;1021077.06;2013-12-01T00:00:00
2545411;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;29;;;29479;722946.66;1021231.00;2022-10-16T00:00:00
2545420;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;30;;;29479;723107.54;1021245.51;2022-10-16T00:00:00
2545438;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;31;;;29479;722894.25;1021305.19;2013-12-01T00:00:00
2545446;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;32;;;29479;723067.00;1021228.00;2013-12-01T00:00:00
2545454;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;33;;;29479;723115.88;1021229.13;2013-12-01T00:00:00
2545462;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;34;;;29479;722434.63;1021109.62;2025-06-26T00:00:00
2545471;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;35;;;29479;722443.56;1021048.75;2013-12-01T00:00:00
2545489;536181;Krop·Ëova Vrutice;;;;;67911;Kojovice;;;Ë.p.;36;;;29479;722859.88;1021297.25;2013-12-01T00:00:00
2545497;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;1;;;29479;717783.94;1019143.63;2013-12-01T00:00:00
2545501;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;2;;;29479;718094.13;1019130.56;2013-12-01T00:00:00
2545519;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;3;;;29479;718134.00;1019109.56;2013-12-01T00:00:00
2545527;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;4;;;29479;718170.19;1019109.13;2013-12-01T00:00:00
2545535;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;5;;;29479;718214.00;1019077.63;2013-12-01T00:00:00
2545543;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;6;;;29479;718247.50;1019072.75;2013-12-01T00:00:00
2545551;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;7;;;29479;718280.00;1019061.88;2013-12-01T00:00:00
2545560;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;8;;;29479;718311.88;1019057.63;2013-12-01T00:00:00
2545578;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;9;;;29479;718340.25;1019049.75;2013-12-01T00:00:00
2545586;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;10;;;29479;718676.19;1019076.44;2013-12-01T00:00:00
2545594;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;11;;;29479;718313.31;1019096.38;2013-12-01T00:00:00
2545608;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;12;;;29479;718075.94;1019141.81;2013-12-01T00:00:00
2545616;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;13;;;29479;718640.75;1018768.00;2013-12-01T00:00:00
2545632;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;15;;;29479;718900.31;1018978.13;2013-12-01T00:00:00
2545641;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;16;;;29479;718315.40;1019109.91;2022-10-16T00:00:00
2545659;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;17;;;29479;718203.66;1019119.74;2022-10-16T00:00:00
2545667;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;18;;;29479;718307.25;1019084.25;2013-12-01T00:00:00
2545675;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;19;;;29479;718779.13;1018943.81;2013-12-01T00:00:00
2545683;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;20;;;29479;718395.75;1018960.75;2013-12-01T00:00:00
2545691;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;21;;;29479;718115.50;1019215.44;2013-12-01T00:00:00
2545705;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;22;;;29479;718379.25;1018937.88;2013-12-01T00:00:00
2545713;536181;Krop·Ëova Vrutice;;;;;75043;Krop·Ëova Vrutice;;;Ë.p.;23;;;29479;718420.74;1019013.83;2025-06-25T00:00:00
