Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7574665;574198;Spojil;;;;;117854;Spojil;736996;Pod Habøím;è.p.;1;;;53002;644121.04;1060905.78;2013-12-05T00:00:00
7574673;574198;Spojil;;;;;117854;Spojil;736996;Pod Habøím;è.p.;2;;;53002;644080.68;1060880.50;2013-12-05T00:00:00
7574681;574198;Spojil;;;;;117854;Spojil;736996;Pod Habøím;è.p.;3;;;53002;644038.47;1060857.11;2013-12-05T00:00:00
7574690;574198;Spojil;;;;;117854;Spojil;736996;Pod Habøím;è.p.;4;;;53002;643998.81;1060832.92;2013-12-05T00:00:00
7574703;574198;Spojil;;;;;117854;Spojil;736996;Pod Habøím;è.p.;5;;;53002;643954.16;1060812.26;2013-12-05T00:00:00
7574711;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;6;;;53002;643832.26;1060741.41;2013-12-05T00:00:00
7574720;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;7;;;53002;643790.74;1060712.65;2013-12-05T00:00:00
7574738;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;8;;;53002;643751.09;1060689.60;2013-12-05T00:00:00
7574746;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;9;;;53002;643714.41;1060656.46;2013-12-05T00:00:00
7574754;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;10;;;53002;643665.13;1060639.08;2013-12-05T00:00:00
7574762;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;11;;;53002;643702.16;1060577.63;2013-12-05T00:00:00
7574771;574198;Spojil;;;;;117854;Spojil;736970;K Hájovnì;è.p.;12;;;53002;643744.55;1060605.19;2013-12-05T00:00:00
